"id","codi_estacio","codi_variable","data_lectura","data_extrem","valor_lectura","codi_estat","codi_base"
"C9353003150930","C9","35","2015-03-30T09:30:00.000",,"0","V","SH"
"C9343003150930","C9","34","2015-03-30T09:30:00.000",,"993.4","V","SH"
"DB033003150930","DB","3","2015-03-30T09:30:00.000","2015-03-30T09:33:00.000","26","V","SH"
"DB443003150930","DB","44","2015-03-30T09:30:00.000","2015-03-30T09:51:00.000","24","V","SH"
"DB313003150930","DB","31","2015-03-30T09:30:00.000",,"2","V","SH"
"DB503003150930","DB","50","2015-03-30T09:30:00.000","2015-03-30T09:57:00.000","16.7","V","SH"
"DB513003150930","DB","51","2015-03-30T09:30:00.000",,"343","V","SH"
"DB353003150930","DB","35","2015-03-30T09:30:00.000",,"0","V","SH"
"DB723003150930","DB","72","2015-03-30T09:30:00.000","2015-03-30T09:30:00.000","0","V","SH"
"DB363003150930","DB","36","2015-03-30T09:30:00.000",,"102","V","SH"
"DB343003150930","DB","34","2015-03-30T09:30:00.000",,"1000","V","SH"
"DB013003150930","DB","1","2015-03-30T09:30:00.000","2015-03-30T09:35:00.000","1000.3","V","SH"
"DB023003150930","DB","2","2015-03-30T09:30:00.000","2015-03-30T09:54:00.000","999.8","V","SH"
"DB323003150930","DB","32","2015-03-30T09:30:00.000",,"19.2","V","SH"
"DB403003150930","DB","40","2015-03-30T09:30:00.000","2015-03-30T09:59:00.000","19.5","V","SH"
"DB423003150930","DB","42","2015-03-30T09:30:00.000","2015-03-30T09:30:00.000","19","V","SH"
"DB333003150930","DB","33","2015-03-30T09:30:00.000",,"26","V","SH"
"DB303003150930","DB","30","2015-03-30T09:30:00.000",,"8.6","V","SH"
"DC323003150930","DC","32","2015-03-30T09:30:00.000",,"15.9","V","SH"
"DC023003150930","DC","2","2015-03-30T09:30:00.000","2015-03-30T09:53:00.000","969.1","V","SH"
"DC423003150930","DC","42","2015-03-30T09:30:00.000","2015-03-30T09:30:00.000","15.3","V","SH"
"DC333003150930","DC","33","2015-03-30T09:30:00.000",,"64","V","SH"
"DC443003150930","DC","44","2015-03-30T09:30:00.000","2015-03-30T09:54:00.000","61","V","SH"
"DC033003150930","DC","3","2015-03-30T09:30:00.000","2015-03-30T09:30:00.000","69","V","SH"
"DC303003150930","DC","30","2015-03-30T09:30:00.000",,"1.1","V","SH"
"DC313003150930","DC","31","2015-03-30T09:30:00.000",,"244","V","SH"
"DC503003150930","DC","50","2015-03-30T09:30:00.000","2015-03-30T09:56:00.000","3","V","SH"
"DC513003150930","DC","51","2015-03-30T09:30:00.000",,"256","V","SH"
"DC353003150930","DC","35","2015-03-30T09:30:00.000",,"0","V","SH"
"DC723003150930","DC","72","2015-03-30T09:30:00.000","2015-03-30T09:30:00.000","0","V","SH"
"DC363003150930","DC","36","2015-03-30T09:30:00.000",,"409","V","SH"
"DC343003150930","DC","34","2015-03-30T09:30:00.000",,"969.4","V","SH"
"DC013003150930","DC","1","2015-03-30T09:30:00.000","2015-03-30T09:59:00.000","969.7","V","SH"
"DC403003150930","DC","40","2015-03-30T09:30:00.000","2015-03-30T09:56:00.000","16.6","V","SH"
"DF513003150930","DF","51","2015-03-30T09:30:00.000",,"304","V","SH"
"DF323003150930","DF","32","2015-03-30T09:30:00.000",,"19","V","SH"
"DF723003150930","DF","72","2015-03-30T09:30:00.000","2015-03-30T09:30:00.000","0","V","SH"
"DF363003150930","DF","36","2015-03-30T09:30:00.000",,"581","V","SH"
"DF343003150930","DF","34","2015-03-30T09:30:00.000",,"1015.8","V","SH"
"DF013003150930","DF","1","2015-03-30T09:30:00.000","2015-03-30T09:41:00.000","1016","V","SH"
"DF023003150930","DF","2","2015-03-30T09:30:00.000","2015-03-30T09:33:00.000","1015.5","V","SH"
"DF403003150930","DF","40","2015-03-30T09:30:00.000","2015-03-30T09:59:00.000","20.3","V","SH"
"DF423003150930","DF","42","2015-03-30T09:30:00.000","2015-03-30T09:30:00.000","17.8","V","SH"
"DF333003150930","DF","33","2015-03-30T09:30:00.000",,"60","V","SH"
"DF443003150930","DF","44","2015-03-30T09:30:00.000","2015-03-30T09:59:00.000","54","V","SH"
"DF033003150930","DF","3","2015-03-30T09:30:00.000","2015-03-30T09:30:00.000","67","V","SH"
"DF303003150930","DF","30","2015-03-30T09:30:00.000",,"0.7","V","SH"
"DF313003150930","DF","31","2015-03-30T09:30:00.000",,"301","V","SH"
"DF503003150930","DF","50","2015-03-30T09:30:00.000","2015-03-30T09:30:00.000","1.8","V","SH"
"DF353003150930","DF","35","2015-03-30T09:30:00.000",,"0","V","SH"
"DG503003150930","DG","50","2015-03-30T09:30:00.000","2015-03-30T09:55:00.000","21.1","V","SH"
"DG313003150930","DG","31","2015-03-30T09:30:00.000",,"28","V","SH"
"DG353003150930","DG","35","2015-03-30T09:30:00.000",,"0","V","SH"
"DG723003150930","DG","72","2015-03-30T09:30:00.000","2015-03-30T09:30:00.000","0","V","SH"
"DG363003150930","DG","36","2015-03-30T09:30:00.000",,"479","V","SH"
"DG343003150930","DG","34","2015-03-30T09:30:00.000",,"805.2","V","SH"
"DG013003150930","DG","1","2015-03-30T09:30:00.000","2015-03-30T09:41:00.000","806.2","V","SH"
"DG023003150930","DG","2","2015-03-30T09:30:00.000","2015-03-30T09:35:00.000","804.2","V","SH"
"DG383003150930","DG","38","2015-03-30T09:30:00.000",,"35","V","SH"
"DG333003150930","DG","33","2015-03-30T09:30:00.000",,"56","V","SH"
"DG443003150930","DG","44","2015-03-30T09:30:00.000","2015-03-30T09:37:00.000","55","V","SH"
"DG323003150930","DG","32","2015-03-30T09:30:00.000",,"10","V","SH"
"DG403003150930","DG","40","2015-03-30T09:30:00.000","2015-03-30T09:43:00.000","10.2","V","SH"
"DG423003150930","DG","42","2015-03-30T09:30:00.000","2015-03-30T09:30:00.000","9.6","V","SH"
"DG033003150930","DG","3","2015-03-30T09:30:00.000","2015-03-30T09:30:00.000","59","V","SH"
"DG303003150930","DG","30","2015-03-30T09:30:00.000",,"6.1","V","SH"
"DG513003150930","DG","51","2015-03-30T09:30:00.000",,"35","V","SH"
"DI403003150930","DI","40","2015-03-30T09:30:00.000","2015-03-30T09:57:00.000","18.1","V","SH"
"DI023003150930","DI","2","2015-03-30T09:30:00.000","2015-03-30T09:53:00.000","970.1","V","SH"
"DI333003150930","DI","33","2015-03-30T09:30:00.000",,"36","V","SH"
"DI443003150930","DI","44","2015-03-30T09:30:00.000","2015-03-30T09:47:00.000","35","V","SH"
"DI033003150930","DI","3","2015-03-30T09:30:00.000","2015-03-30T09:35:00.000","38","V","SH"
"DI323003150930","DI","32","2015-03-30T09:30:00.000",,"17.6","V","SH"
"DI303003150930","DI","30","2015-03-30T09:30:00.000",,"9.9","V","SH"
"DI313003150930","DI","31","2015-03-30T09:30:00.000",,"303","V","SH"
"DI503003150930","DI","50","2015-03-30T09:30:00.000","2015-03-30T09:59:00.000","16.4","V","SH"
"DI513003150930","DI","51","2015-03-30T09:30:00.000",,"292","V","SH"
"DI353003150930","DI","35","2015-03-30T09:30:00.000",,"0","V","SH"
"DI723003150930","DI","72","2015-03-30T09:30:00.000","2015-03-30T09:30:00.000","0","V","SH"
"DI363003150930","DI","36","2015-03-30T09:30:00.000",,"407","V","SH"
"DI343003150930","DI","34","2015-03-30T09:30:00.000",,"970.6","V","SH"
"DI013003150930","DI","1","2015-03-30T09:30:00.000","2015-03-30T09:32:00.000","970.9","V","SH"
"DI423003150930","DI","42","2015-03-30T09:30:00.000","2015-03-30T09:32:00.000","17","V","SH"
"DJ323003150930","DJ","32","2015-03-30T09:30:00.000",,"18.3","V","SH"
"DJ023003150930","DJ","2","2015-03-30T09:30:00.000","2015-03-30T09:30:00.000","997.7","V","SH"
"DJ423003150930","DJ","42","2015-03-30T09:30:00.000","2015-03-30T09:37:00.000","17.6","V","SH"
"DJ333003150930","DJ","33","2015-03-30T09:30:00.000",,"61","V","SH"
"DJ443003150930","DJ","44","2015-03-30T09:30:00.000","2015-03-30T09:43:00.000","58","V","SH"
"DJ033003150930","DJ","3","2015-03-30T09:30:00.000","2015-03-30T09:38:00.000","63","V","SH"
"DJ303003150930","DJ","30","2015-03-30T09:30:00.000",,"1.1","V","SH"
"DJ313003150930","DJ","31","2015-03-30T09:30:00.000",,"82","V","SH"
"DJ503003150930","DJ","50","2015-03-30T09:30:00.000","2015-03-30T09:36:00.000","2.6","V","SH"
"DJ513003150930","DJ","51","2015-03-30T09:30:00.000",,"324","V","SH"
"DJ353003150930","DJ","35","2015-03-30T09:30:00.000",,"0","V","SH"
"DJ723003150930","DJ","72","2015-03-30T09:30:00.000","2015-03-30T09:30:00.000","0","V","SH"
"DJ363003150930","DJ","36","2015-03-30T09:30:00.000",,"601","V","SH"
"DJ343003150930","DJ","34","2015-03-30T09:30:00.000",,"997.9","V","SH"
"DJ013003150930","DJ","1","2015-03-30T09:30:00.000","2015-03-30T09:37:00.000","998.2","V","SH"
"DJ403003150930","DJ","40","2015-03-30T09:30:00.000","2015-03-30T09:45:00.000","18.7","V","SH"
"DK503003150930","DK","50","2015-03-30T09:30:00.000","2015-03-30T09:39:00.000","11.6","V","SH"
"DK313003150930","DK","31","2015-03-30T09:30:00.000",,"286","V","SH"
"DK353003150930","DK","35","2015-03-30T09:30:00.000",,"0","V","SH"
"DK723003150930","DK","72","2015-03-30T09:30:00.000","2015-03-30T09:30:00.000","0","V","SH"
"DK363003150930","DK","36","2015-03-30T09:30:00.000",,"593","V","SH"
"DK343003150930","DK","34","2015-03-30T09:30:00.000",,"1019","V","SH"
"DK013003150930","DK","1","2015-03-30T09:30:00.000","2015-03-30T09:45:00.000","1019.2","V","SH"
"DK033003150930","DK","3","2015-03-30T09:30:00.000","2015-03-30T09:35:00.000","27","V","SH"
"DK303003150930","DK","30","2015-03-30T09:30:00.000",,"5.6","V","SH"
"DK023003150930","DK","2","2015-03-30T09:30:00.000","2015-03-30T09:33:00.000","1018.8","V","SH"
"DK323003150930","DK","32","2015-03-30T09:30:00.000",,"22","V","SH"
"DK403003150930","DK","40","2015-03-30T09:30:00.000","2015-03-30T09:59:00.000","22.3","V","SH"
"DK423003150930","DK","42","2015-03-30T09:30:00.000","2015-03-30T09:30:00.000","21.3","V","SH"
"DK333003150930","DK","33","2015-03-30T09:30:00.000",,"26","V","SH"
"DK443003150930","DK","44","2015-03-30T09:30:00.000","2015-03-30T09:48:00.000","25","V","SH"
"DK513003150930","DK","51","2015-03-30T09:30:00.000",,"295","V","SH"
"DL313003150930","DL","31","2015-03-30T09:30:00.000",,"319","V","SH"
"DL333003150930","DL","33","2015-03-30T09:30:00.000",,"35","V","SH"
"DL513003150930","DL","51","2015-03-30T09:30:00.000",,"320","V","SH"
"DL353003150930","DL","35","2015-03-30T09:30:00.000",,"0","V","SH"
"DL723003150930","DL","72","2015-03-30T09:30:00.000","2015-03-30T09:30:00.000","0","V","SH"
"DL363003150930","DL","36","2015-03-30T09:30:00.000",,"84","V","SH"
"DL343003150930","DL","34","2015-03-30T09:30:00.000",,"1019.9","V","SH"
"DL013003150930","DL","1","2015-03-30T09:30:00.000","2015-03-30T09:31:00.000","1020","V","SH"
"DL023003150930","DL","2","2015-03-30T09:30:00.000","2015-03-30T09:50:00.000","1019.6","V","SH"
"DL323003150930","DL","32","2015-03-30T09:30:00.000",,"19.8","V","SH"
"DL403003150930","DL","40","2015-03-30T09:30:00.000","2015-03-30T09:31:00.000","20.1","V","SH"
"DL443003150930","DL","44","2015-03-30T09:30:00.000","2015-03-30T09:30:00.000","33","V","SH"
"DL033003150930","DL","3","2015-03-30T09:30:00.000","2015-03-30T09:41:00.000","37","V","SH"
"DL303003150930","DL","30","2015-03-30T09:30:00.000",,"6.1","V","SH"
"DL423003150930","DL","42","2015-03-30T09:30:00.000","2015-03-30T09:41:00.000","19.6","V","SH"
"DL503003150930","DL","50","2015-03-30T09:30:00.000","2015-03-30T09:39:00.000","12.4","V","SH"
"DN323003150930","DN","32","2015-03-30T09:30:00.000",,"17.7","V","SH"
"DN023003150930","DN","2","2015-03-30T09:30:00.000","2015-03-30T09:57:00.000","1000.7","V","SH"
"DN423003150930","DN","42","2015-03-30T09:30:00.000","2015-03-30T09:30:00.000","17.2","V","SH"
"DN333003150930","DN","33","2015-03-30T09:30:00.000",,"49","V","SH"
"DN443003150930","DN","44","2015-03-30T09:30:00.000","2015-03-30T09:50:00.000","44","V","SH"
"DN033003150930","DN","3","2015-03-30T09:30:00.000","2015-03-30T09:30:00.000","53","V","SH"
"DN303003150930","DN","30","2015-03-30T09:30:00.000",,"1","V","SH"
"DN313003150930","DN","31","2015-03-30T09:30:00.000",,"43","V","SH"
"DN503003150930","DN","50","2015-03-30T09:30:00.000","2015-03-30T09:45:00.000","3.4","V","SH"
"DN513003150930","DN","51","2015-03-30T09:30:00.000",,"331","V","SH"
"DN353003150930","DN","35","2015-03-30T09:30:00.000",,"0","V","SH"
"DN723003150930","DN","72","2015-03-30T09:30:00.000","2015-03-30T09:30:00.000","0","V","SH"
"DN363003150930","DN","36","2015-03-30T09:30:00.000",,"367","V","SH"
"DN343003150930","DN","34","2015-03-30T09:30:00.000",,"1000.9","V","SH"
"DN013003150930","DN","1","2015-03-30T09:30:00.000","2015-03-30T09:43:00.000","1001.2","V","SH"
"DN403003150930","DN","40","2015-03-30T09:30:00.000","2015-03-30T09:59:00.000","17.9","V","SH"
"DO323003150930","DO","32","2015-03-30T09:30:00.000",,"17.2","V","SH"
"DO023003150930","DO","2","2015-03-30T09:30:00.000","2015-03-30T09:30:00.000","1017.3","V","SH"
"DO423003150930","DO","42","2015-03-30T09:30:00.000","2015-03-30T09:30:00.000","16.5","V","SH"
"DO333003150930","DO","33","2015-03-30T09:30:00.000",,"62","V","SH"
"DO443003150930","DO","44","2015-03-30T09:30:00.000","2015-03-30T09:55:00.000","54","V","SH"
"DO033003150930","DO","3","2015-03-30T09:30:00.000","2015-03-30T09:30:00.000","68","V","SH"
"DO303003150930","DO","30","2015-03-30T09:30:00.000",,"0.5","V","SH"
"DO313003150930","DO","31","2015-03-30T09:30:00.000",,"79","V","SH"
"DO503003150930","DO","50","2015-03-30T09:30:00.000","2015-03-30T09:41:00.000","1.9","V","SH"
"DO513003150930","DO","51","2015-03-30T09:30:00.000",,"63","V","SH"
"DO353003150930","DO","35","2015-03-30T09:30:00.000",,"0","V","SH"
"DO723003150930","DO","72","2015-03-30T09:30:00.000","2015-03-30T09:30:00.000","0","V","SH"
"DO363003150930","DO","36","2015-03-30T09:30:00.000",,"367","V","SH"
"DO343003150930","DO","34","2015-03-30T09:30:00.000",,"1017.5","V","SH"
"DO013003150930","DO","1","2015-03-30T09:30:00.000","2015-03-30T09:50:00.000","1017.7","V","SH"
"DO403003150930","DO","40","2015-03-30T09:30:00.000","2015-03-30T09:53:00.000","17.8","V","SH"
"DP323003150930","DP","32","2015-03-30T09:30:00.000",,"14.8","V","SH"
"DP503003150930","DP","50","2015-03-30T09:30:00.000","2015-03-30T09:55:00.000","2.9","V","SH"
"DP423003150930","DP","42","2015-03-30T09:30:00.000","2015-03-30T09:30:00.000","14.3","V","SH"
"DP333003150930","DP","33","2015-03-30T09:30:00.000",,"44","V","SH"
"DP443003150930","DP","44","2015-03-30T09:30:00.000","2015-03-30T09:36:00.000","42","V","SH"
"DP033003150930","DP","3","2015-03-30T09:30:00.000","2015-03-30T09:54:00.000","47","V","SH"
"DP303003150930","DP","30","2015-03-30T09:30:00.000",,"1","V","SH"
"DP313003150930","DP","31","2015-03-30T09:30:00.000",,"14","V","SH"
"DP513003150930","DP","51","2015-03-30T09:30:00.000",,"43","V","SH"
"DP353003150930","DP","35","2015-03-30T09:30:00.000",,"0","V","SH"
"DP723003150930","DP","72","2015-03-30T09:30:00.000","2015-03-30T09:30:00.000","0","V","SH"
"DP363003150930","DP","36","2015-03-30T09:30:00.000",,"259","V","SH"
"DP343003150930","DP","34","2015-03-30T09:30:00.000",,"895.1","V","SH"
"DP013003150930","DP","1","2015-03-30T09:30:00.000","2015-03-30T09:33:00.000","895.4","V","SH"
"DP023003150930","DP","2","2015-03-30T09:30:00.000","2015-03-30T09:52:00.000","894.8","V","SH"
"DP383003150930","DP","38","2015-03-30T09:30:00.000",,"0","V","SH"
"DP403003150930","DP","40","2015-03-30T09:30:00.000","2015-03-30T09:55:00.000","15.5","V","SH"
"DQ023003150930","DQ","2","2015-03-30T09:30:00.000","2015-03-30T09:40:00.000","986.4","V","SH"
"DQ313003150930","DQ","31","2015-03-30T09:30:00.000",,"314","V","SH"
"DQ403003150930","DQ","40","2015-03-30T09:30:00.000","2015-03-30T09:48:00.000","18.6","V","SH"
"DQ423003150930","DQ","42","2015-03-30T09:30:00.000","2015-03-30T09:30:00.000","17.8","V","SH"
"DQ333003150930","DQ","33","2015-03-30T09:30:00.000",,"29","V","SH"
"DQ443003150930","DQ","44","2015-03-30T09:30:00.000","2015-03-30T09:51:00.000","28","V","SH"
"DQ503003150930","DQ","50","2015-03-30T09:30:00.000","2015-03-30T09:50:00.000","15.4","V","SH"
"DQ513003150930","DQ","51","2015-03-30T09:30:00.000",,"303","V","SH"
"DQ353003150930","DQ","35","2015-03-30T09:30:00.000",,"0","V","SH"
"DQ723003150930","DQ","72","2015-03-30T09:30:00.000","2015-03-30T09:30:00.000","0","V","SH"
"DQ363003150930","DQ","36","2015-03-30T09:30:00.000",,"546","V","SH"
"DQ343003150930","DQ","34","2015-03-30T09:30:00.000",,"986.7","V","SH"
"DQ013003150930","DQ","1","2015-03-30T09:30:00.000","2015-03-30T09:57:00.000","986.9","V","SH"
"DQ033003150930","DQ","3","2015-03-30T09:30:00.000","2015-03-30T09:35:00.000","29","V","SH"
"DQ303003150930","DQ","30","2015-03-30T09:30:00.000",,"7.6","V","SH"
"DQ323003150930","DQ","32","2015-03-30T09:30:00.000",,"18.3","V","SH"
"D1423003150930","D1","42","2015-03-30T09:30:00.000","2015-03-30T09:30:00.000","18","V","SH"
"D1513003150930","D1","51","2015-03-30T09:30:00.000",,"251","V","SH"
"D1443003150930","D1","44","2015-03-30T09:30:00.000","2015-03-30T09:57:00.000","31","V","SH"
"D1033003150930","D1","3","2015-03-30T09:30:00.000","2015-03-30T09:32:00.000","34","V","SH"
"D1323003150930","D1","32","2015-03-30T09:30:00.000",,"18.3","V","SH"
"D1403003150930","D1","40","2015-03-30T09:30:00.000","2015-03-30T09:42:00.000","18.5","V","SH"
"D1353003150930","D1","35","2015-03-30T09:30:00.000",,"0","V","SH"
"D1723003150930","D1","72","2015-03-30T09:30:00.000","2015-03-30T09:30:00.000","0","V","SH"
"D1363003150930","D1","36","2015-03-30T09:30:00.000",,"608","V","SH"
"D1343003150930","D1","34","2015-03-30T09:30:00.000",,"974.4","V","SH"
"D1013003150930","D1","1","2015-03-30T09:30:00.000","2015-03-30T09:34:00.000","974.6","V","SH"
"D1023003150930","D1","2","2015-03-30T09:30:00.000","2015-03-30T09:55:00.000","974","V","SH"
"D1303003150930","D1","30","2015-03-30T09:30:00.000",,"7.1","V","SH"
"D1313003150930","D1","31","2015-03-30T09:30:00.000",,"243","V","SH"
"D1503003150930","D1","50","2015-03-30T09:30:00.000","2015-03-30T09:55:00.000","13.8","V","SH"
"D1333003150930","D1","33","2015-03-30T09:30:00.000",,"33","V","SH"
"D2403003150930","D2","40","2015-03-30T09:30:00.000","2015-03-30T09:59:00.000","16.3","V","SH"
"D2423003150930","D2","42","2015-03-30T09:30:00.000","2015-03-30T09:30:00.000","15.5","V","SH"
"D2333003150930","D2","33","2015-03-30T09:30:00.000",,"47","V","SH"
"D2443003150930","D2","44","2015-03-30T09:30:00.000","2015-03-30T09:55:00.000","45","V","SH"
"D2033003150930","D2","3","2015-03-30T09:30:00.000","2015-03-30T09:46:00.000","49","V","SH"
"D2323003150930","D2","32","2015-03-30T09:30:00.000",,"15.9","V","SH"
"D2723003150930","D2","72","2015-03-30T09:30:00.000","2015-03-30T09:30:00.000","0","V","SH"
"D2343003150930","D2","34","2015-03-30T09:30:00.000",,"979","V","SH"
"D2013003150930","D2","1","2015-03-30T09:30:00.000","2015-03-30T09:45:00.000","979.2","V","SH"
"D2023003150930","D2","2","2015-03-30T09:30:00.000","2015-03-30T09:38:00.000","978.9","V","SH"
"D2353003150930","D2","35","2015-03-30T09:30:00.000",,"0","V","SH"
"D3423003150930","D3","42","2015-03-30T09:30:00.000","2015-03-30T09:30:00.000","18","V","SH"
"D3333003150930","D3","33","2015-03-30T09:30:00.000",,"35","V","SH"
"D3443003150930","D3","44","2015-03-30T09:30:00.000","2015-03-30T09:59:00.000","34","V","SH"
"D3033003150930","D3","3","2015-03-30T09:30:00.000","2015-03-30T09:32:00.000","37","V","SH"
"D3323003150930","D3","32","2015-03-30T09:30:00.000",,"18.3","V","SH"
"D3403003150930","D3","40","2015-03-30T09:30:00.000","2015-03-30T09:59:00.000","18.6","V","SH"
"D3303003150930","D3","30","2015-03-30T09:30:00.000",,"4.9","V","SH"
"D3313003150930","D3","31","2015-03-30T09:30:00.000",,"313","V","SH"
"D3503003150930","D3","50","2015-03-30T09:30:00.000","2015-03-30T09:37:00.000","10.8","V","SH"
"D3513003150930","D3","51","2015-03-30T09:30:00.000",,"322","V","SH"
"D3353003150930","D3","35","2015-03-30T09:30:00.000",,"0","V","SH"
"D3723003150930","D3","72","2015-03-30T09:30:00.000","2015-03-30T09:30:00.000","0","V","SH"
"D3363003150930","D3","36","2015-03-30T09:30:00.000",,"305","V","SH"
"D3343003150930","D3","34","2015-03-30T09:30:00.000",,"988.7","V","SH"
"D3013003150930","D3","1","2015-03-30T09:30:00.000","2015-03-30T09:51:00.000","989.1","V","SH"
"D3023003150930","D3","2","2015-03-30T09:30:00.000","2015-03-30T09:43:00.000","988.4","V","SH"
"D4323003150930","D4","32","2015-03-30T09:30:00.000",,"16","V","SH"
"D4023003150930","D4","2","2015-03-30T09:30:00.000","2015-03-30T09:44:00.000","1015.8","V","SH"
"D4423003150930","D4","42","2015-03-30T09:30:00.000","2015-03-30T09:34:00.000","15.7","V","SH"
"D4503003150930","D4","50","2015-03-30T09:30:00.000","2015-03-30T09:55:00.000","1.9","V","SH"
"D4513003150930","D4","51","2015-03-30T09:30:00.000",,"126","V","SH"
"D4353003150930","D4","35","2015-03-30T09:30:00.000",,"0","V","SH"
"D4723003150930","D4","72","2015-03-30T09:30:00.000","2015-03-30T09:30:00.000","0","V","SH"
"D4333003150930","D4","33","2015-03-30T09:30:00.000",,"68","V","SH"
