"id","codi_estacio","codi_variable","data_lectura","data_extrem","valor_lectura","codi_estat","codi_base"
"UK443003150930","UK","44","2015-03-30T09:30:00.000","2015-03-30T09:50:00.000","26","V","SH"
"UK033003150930","UK","3","2015-03-30T09:30:00.000","2015-03-30T09:31:00.000","31","V","SH"
"UK353003150930","UK","35","2015-03-30T09:30:00.000",,"0","V","SH"
"UK333003150930","UK","33","2015-03-30T09:30:00.000",,"28","V","SH"
"UL323003150930","UL","32","2015-03-30T09:30:00.000",,"19.9","V","SH"
"UL403003150930","UL","40","2015-03-30T09:30:00.000","2015-03-30T09:58:00.000","20.3","V","SH"
"UL423003150930","UL","42","2015-03-30T09:30:00.000","2015-03-30T09:30:00.000","19.4","V","SH"
"UL333003150930","UL","33","2015-03-30T09:30:00.000",,"28","V","SH"
"UL443003150930","UL","44","2015-03-30T09:30:00.000","2015-03-30T09:52:00.000","27","V","SH"
"UL033003150930","UL","3","2015-03-30T09:30:00.000","2015-03-30T09:40:00.000","30","V","SH"
"UL363003150930","UL","36","2015-03-30T09:30:00.000",,"655","V","SH"
"UL473003150930","UL","47","2015-03-30T09:30:00.000",,"291","V","SH"
"UL563003150930","UL","56","2015-03-30T09:30:00.000","2015-03-30T09:43:00.000","9.8","V","SH"
"UL573003150930","UL","57","2015-03-30T09:30:00.000",,"317","V","SH"
"UL353003150930","UL","35","2015-03-30T09:30:00.000",,"0","V","SH"
"UL723003150930","UL","72","2015-03-30T09:30:00.000","2015-03-30T09:30:00.000","0","V","SH"
"UL463003150930","UL","46","2015-03-30T09:30:00.000",,"4.2","V","SH"
"UM363003150930","UM","36","2015-03-30T09:30:00.000",,"528","V","SH"
"UM323003150930","UM","32","2015-03-30T09:30:00.000",,"17.1","V","SH"
"UM403003150930","UM","40","2015-03-30T09:30:00.000","2015-03-30T09:35:00.000","17.4","V","SH"
"UM423003150930","UM","42","2015-03-30T09:30:00.000","2015-03-30T09:58:00.000","16.8","V","SH"
"UM333003150930","UM","33","2015-03-30T09:30:00.000",,"34","V","SH"
"UM443003150930","UM","44","2015-03-30T09:30:00.000","2015-03-30T09:38:00.000","33","V","SH"
"UM723003150930","UM","72","2015-03-30T09:30:00.000","2015-03-30T09:30:00.000","0","V","SH"
"UM463003150930","UM","46","2015-03-30T09:30:00.000",,"5.9","V","SH"
"UM473003150930","UM","47","2015-03-30T09:30:00.000",,"293","V","SH"
"UM563003150930","UM","56","2015-03-30T09:30:00.000","2015-03-30T09:41:00.000","12.3","V","SH"
"UM573003150930","UM","57","2015-03-30T09:30:00.000",,"285","V","SH"
"UM353003150930","UM","35","2015-03-30T09:30:00.000",,"0","V","SH"
"UM033003150930","UM","3","2015-03-30T09:30:00.000","2015-03-30T09:34:00.000","36","V","SH"
"UN323003150930","UN","32","2015-03-30T09:30:00.000",,"17.2","V","SH"
"UN403003150930","UN","40","2015-03-30T09:30:00.000","2015-03-30T09:53:00.000","17.7","V","SH"
"UN423003150930","UN","42","2015-03-30T09:30:00.000","2015-03-30T09:31:00.000","16.6","V","SH"
"UN333003150930","UN","33","2015-03-30T09:30:00.000",,"63","V","SH"
"UN443003150930","UN","44","2015-03-30T09:30:00.000","2015-03-30T09:59:00.000","59","V","SH"
"UN033003150930","UN","3","2015-03-30T09:30:00.000","2015-03-30T09:42:00.000","67","V","SH"
"UN363003150930","UN","36","2015-03-30T09:30:00.000",,"428","V","SH"
"UN473003150930","UN","47","2015-03-30T09:30:00.000",,"123","V","SH"
"UN563003150930","UN","56","2015-03-30T09:30:00.000","2015-03-30T09:56:00.000","4.5","V","SH"
"UN573003150930","UN","57","2015-03-30T09:30:00.000",,"203","V","SH"
"UN353003150930","UN","35","2015-03-30T09:30:00.000",,"0","V","SH"
"UN723003150930","UN","72","2015-03-30T09:30:00.000","2015-03-30T09:30:00.000","0","V","SH"
"UN463003150930","UN","46","2015-03-30T09:30:00.000",,"1.1","V","SH"
"UO323003150930","UO","32","2015-03-30T09:30:00.000",,"15.3","V","SH"
"UO403003150930","UO","40","2015-03-30T09:30:00.000","2015-03-30T09:58:00.000","16.4","V","SH"
"UO423003150930","UO","42","2015-03-30T09:30:00.000","2015-03-30T09:30:00.000","14.5","V","SH"
"UO723003150930","UO","72","2015-03-30T09:30:00.000","2015-03-30T09:30:00.000","0","V","SH"
"UO443003150930","UO","44","2015-03-30T09:30:00.000","2015-03-30T09:51:00.000","72","V","SH"
"UO033003150930","UO","3","2015-03-30T09:30:00.000","2015-03-30T09:32:00.000","81","V","SH"
"UO353003150930","UO","35","2015-03-30T09:30:00.000",,"0","V","SH"
"UO333003150930","UO","33","2015-03-30T09:30:00.000",,"77","V","SH"
"UP023003150930","UP","2","2015-03-30T09:30:00.000","2015-03-30T09:32:00.000","1008.8","V","SH"
"UP013003150930","UP","1","2015-03-30T09:30:00.000","2015-03-30T09:54:00.000","1009","V","SH"
"UP323003150930","UP","32","2015-03-30T09:30:00.000",,"15.1","V","SH"
"UP403003150930","UP","40","2015-03-30T09:30:00.000","2015-03-30T09:57:00.000","15.8","V","SH"
"UP333003150930","UP","33","2015-03-30T09:30:00.000",,"67","V","SH"
"UP443003150930","UP","44","2015-03-30T09:30:00.000","2015-03-30T09:56:00.000","62","V","SH"
"UP033003150930","UP","3","2015-03-30T09:30:00.000","2015-03-30T09:30:00.000","72","V","SH"
"UP303003150930","UP","30","2015-03-30T09:30:00.000",,"0.5","V","SH"
"UP313003150930","UP","31","2015-03-30T09:30:00.000",,"166","V","SH"
"UP503003150930","UP","50","2015-03-30T09:30:00.000","2015-03-30T09:36:00.000","2.2","V","SH"
"UP513003150930","UP","51","2015-03-30T09:30:00.000",,"119","V","SH"
"UP353003150930","UP","35","2015-03-30T09:30:00.000",,"0","V","SH"
"UP723003150930","UP","72","2015-03-30T09:30:00.000","2015-03-30T09:30:00.000","0","V","SH"
"UP363003150930","UP","36","2015-03-30T09:30:00.000",,"218","V","SH"
"UP593003150930","UP","59","2015-03-30T09:30:00.000",,"93","V","SH"
"UP343003150930","UP","34","2015-03-30T09:30:00.000",,"1008.9","V","SH"
"UP423003150930","UP","42","2015-03-30T09:30:00.000","2015-03-30T09:30:00.000","14.6","V","SH"
"UQ353003150930","UQ","35","2015-03-30T09:30:00.000",,"0","V","SH"
"UQ723003150930","UQ","72","2015-03-30T09:30:00.000","2015-03-30T09:30:00.000","0","V","SH"
"UQ363003150930","UQ","36","2015-03-30T09:30:00.000",,"234","V","SH"
"UQ323003150930","UQ","32","2015-03-30T09:30:00.000",,"13.6","V","SH"
"UQ403003150930","UQ","40","2015-03-30T09:30:00.000","2015-03-30T09:59:00.000","14","V","SH"
"UQ423003150930","UQ","42","2015-03-30T09:30:00.000","2015-03-30T09:41:00.000","13.5","V","SH"
"UQ573003150930","UQ","57","2015-03-30T09:30:00.000",,"183","V","SH"
"UQ443003150930","UQ","44","2015-03-30T09:30:00.000","2015-03-30T09:33:00.000","51","V","SH"
"UQ033003150930","UQ","3","2015-03-30T09:30:00.000","2015-03-30T09:53:00.000","57","V","SH"
"UQ463003150930","UQ","46","2015-03-30T09:30:00.000",,"0.7","V","SH"
"UQ473003150930","UQ","47","2015-03-30T09:30:00.000",,"148","V","SH"
"UQ563003150930","UQ","56","2015-03-30T09:30:00.000","2015-03-30T09:40:00.000","2.5","V","SH"
"UQ333003150930","UQ","33","2015-03-30T09:30:00.000",,"53","V","SH"
"US323003150930","US","32","2015-03-30T09:30:00.000",,"22.9","V","SH"
"US403003150930","US","40","2015-03-30T09:30:00.000","2015-03-30T09:33:00.000","23.1","V","SH"
"US423003150930","US","42","2015-03-30T09:30:00.000","2015-03-30T09:52:00.000","22.8","V","SH"
"US333003150930","US","33","2015-03-30T09:30:00.000",,"22","V","SH"
"US443003150930","US","44","2015-03-30T09:30:00.000","2015-03-30T09:58:00.000","21","V","SH"
"US033003150930","US","3","2015-03-30T09:30:00.000","2015-03-30T09:51:00.000","23","V","SH"
"US363003150930","US","36","2015-03-30T09:30:00.000",,"80","V","SH"
"US473003150930","US","47","2015-03-30T09:30:00.000",,"301","V","SH"
"US563003150930","US","56","2015-03-30T09:30:00.000","2015-03-30T09:37:00.000","7","V","SH"
"US573003150930","US","57","2015-03-30T09:30:00.000",,"214","V","SH"
"US353003150930","US","35","2015-03-30T09:30:00.000",,"0","V","SH"
"US723003150930","US","72","2015-03-30T09:30:00.000","2015-03-30T09:30:00.000","0","V","SH"
"US463003150930","US","46","2015-03-30T09:30:00.000",,"2.6","V","SH"
"UU593003150930","UU","59","2015-03-30T09:30:00.000",,"6","V","SH"
"UU363003150930","UU","36","2015-03-30T09:30:00.000",,"80","V","SH"
"UU403003150930","UU","40","2015-03-30T09:30:00.000","2015-03-30T09:42:00.000","20.3","V","SH"
"UU343003150930","UU","34","2015-03-30T09:30:00.000",,"1020.2","V","SH"
"UU013003150930","UU","1","2015-03-30T09:30:00.000","2015-03-30T09:49:00.000","1020.4","V","SH"
"UU023003150930","UU","2","2015-03-30T09:30:00.000","2015-03-30T09:59:00.000","1019.9","V","SH"
"UU423003150930","UU","42","2015-03-30T09:30:00.000","2015-03-30T09:31:00.000","19.6","V","SH"
"UU333003150930","UU","33","2015-03-30T09:30:00.000",,"29","V","SH"
"UU443003150930","UU","44","2015-03-30T09:30:00.000","2015-03-30T09:56:00.000","27","V","SH"
"UU033003150930","UU","3","2015-03-30T09:30:00.000","2015-03-30T09:31:00.000","31","V","SH"
"UU303003150930","UU","30","2015-03-30T09:30:00.000",,"10.7","V","SH"
"UU313003150930","UU","31","2015-03-30T09:30:00.000",,"314","V","SH"
"UU503003150930","UU","50","2015-03-30T09:30:00.000","2015-03-30T09:56:00.000","17","V","SH"
"UU513003150930","UU","51","2015-03-30T09:30:00.000",,"314","V","SH"
"UU353003150930","UU","35","2015-03-30T09:30:00.000",,"0","V","SH"
"UU723003150930","UU","72","2015-03-30T09:30:00.000","2015-03-30T09:30:00.000","0","V","SH"
"UU323003150930","UU","32","2015-03-30T09:30:00.000",,"19.9","V","SH"
"UW473003150930","UW","47","2015-03-30T09:30:00.000",,"317","V","SH"
"UW463003150930","UW","46","2015-03-30T09:30:00.000",,"4.6","V","SH"
"UW573003150930","UW","57","2015-03-30T09:30:00.000",,"329","V","SH"
"UW323003150930","UW","32","2015-03-30T09:30:00.000",,"19.2","V","SH"
"UW403003150930","UW","40","2015-03-30T09:30:00.000","2015-03-30T09:52:00.000","19.6","V","SH"
"UW423003150930","UW","42","2015-03-30T09:30:00.000","2015-03-30T09:33:00.000","18.7","V","SH"
"UW333003150930","UW","33","2015-03-30T09:30:00.000",,"32","V","SH"
"UW443003150930","UW","44","2015-03-30T09:30:00.000","2015-03-30T09:51:00.000","29","V","SH"
"UW033003150930","UW","3","2015-03-30T09:30:00.000","2015-03-30T09:32:00.000","35","V","SH"
"UW353003150930","UW","35","2015-03-30T09:30:00.000",,"0","V","SH"
"UW723003150930","UW","72","2015-03-30T09:30:00.000","2015-03-30T09:30:00.000","0","V","SH"
"UW363003150930","UW","36","2015-03-30T09:30:00.000",,"71","V","SH"
"UW593003150930","UW","59","2015-03-30T09:30:00.000",,"2","V","SH"
"UW343003150930","UW","34","2015-03-30T09:30:00.000",,"1020.5","V","SH"
"UW013003150930","UW","1","2015-03-30T09:30:00.000","2015-03-30T09:39:00.000","1020.7","V","SH"
"UW023003150930","UW","2","2015-03-30T09:30:00.000","2015-03-30T09:58:00.000","1020.3","V","SH"
"UW563003150930","UW","56","2015-03-30T09:30:00.000","2015-03-30T09:51:00.000","8.7","V","SH"
"UX323003150930","UX","32","2015-03-30T09:30:00.000",,"20.6","V","SH"
"UX403003150930","UX","40","2015-03-30T09:30:00.000","2015-03-30T09:59:00.000","20.9","V","SH"
"UX423003150930","UX","42","2015-03-30T09:30:00.000","2015-03-30T09:32:00.000","20.4","V","SH"
"UX333003150930","UX","33","2015-03-30T09:30:00.000",,"27","V","SH"
"UX443003150930","UX","44","2015-03-30T09:30:00.000","2015-03-30T09:59:00.000","25","V","SH"
"UX033003150930","UX","3","2015-03-30T09:30:00.000","2015-03-30T09:31:00.000","28","V","SH"
"UX363003150930","UX","36","2015-03-30T09:30:00.000",,"84","V","SH"
"UX473003150930","UX","47","2015-03-30T09:30:00.000",,"307","V","SH"
"UX563003150930","UX","56","2015-03-30T09:30:00.000","2015-03-30T09:46:00.000","10.8","V","SH"
"UX573003150930","UX","57","2015-03-30T09:30:00.000",,"295","V","SH"
"UX353003150930","UX","35","2015-03-30T09:30:00.000",,"0","V","SH"
"UX723003150930","UX","72","2015-03-30T09:30:00.000","2015-03-30T09:30:00.000","0","V","SH"
"UX463003150930","UX","46","2015-03-30T09:30:00.000",,"5.8","V","SH"
"UY033003150930","UY","3","2015-03-30T09:30:00.000","2015-03-30T09:30:00.000","33","V","SH"
"UY493003150930","UY","49","2015-03-30T09:30:00.000",,"309","V","SH"
"UY533003150930","UY","53","2015-03-30T09:30:00.000","2015-03-30T09:54:00.000","7.9","V","SH"
"UY483003150930","UY","48","2015-03-30T09:30:00.000",,"3.1","V","SH"
"UY323003150930","UY","32","2015-03-30T09:30:00.000",,"18.7","V","SH"
"UY403003150930","UY","40","2015-03-30T09:30:00.000","2015-03-30T09:53:00.000","19.5","V","SH"
"UY363003150930","UY","36","2015-03-30T09:30:00.000",,"540","V","SH"
"UY333003150930","UY","33","2015-03-30T09:30:00.000",,"31","V","SH"
"UY443003150930","UY","44","2015-03-30T09:30:00.000","2015-03-30T09:53:00.000","30","V","SH"
"UY543003150930","UY","54","2015-03-30T09:30:00.000",,"319","V","SH"
"UY353003150930","UY","35","2015-03-30T09:30:00.000",,"0","V","SH"
"UY723003150930","UY","72","2015-03-30T09:30:00.000","2015-03-30T09:30:00.000","0","V","SH"
"UY423003150930","UY","42","2015-03-30T09:30:00.000","2015-03-30T09:30:00.000","17.9","V","SH"
"U1403003150930","U1","40","2015-03-30T09:30:00.000","2015-03-30T09:49:00.000","18.5","V","SH"
"U1423003150930","U1","42","2015-03-30T09:30:00.000","2015-03-30T09:30:00.000","17.6","V","SH"
"U1333003150930","U1","33","2015-03-30T09:30:00.000",,"67","V","SH"
"U1443003150930","U1","44","2015-03-30T09:30:00.000","2015-03-30T09:41:00.000","62","V","SH"
"U1033003150930","U1","3","2015-03-30T09:30:00.000","2015-03-30T09:36:00.000","71","V","SH"
"U1463003150930","U1","46","2015-03-30T09:30:00.000",,"0.5","V","SH"
"U1323003150930","U1","32","2015-03-30T09:30:00.000",,"18.2","V","SH"
"U1563003150930","U1","56","2015-03-30T09:30:00.000","2015-03-30T09:59:00.000","1.7","V","SH"
"U1573003150930","U1","57","2015-03-30T09:30:00.000",,"200","V","SH"
"U1353003150930","U1","35","2015-03-30T09:30:00.000",,"0","V","SH"
"U1723003150930","U1","72","2015-03-30T09:30:00.000","2015-03-30T09:30:00.000","0","V","SH"
"U1363003150930","U1","36","2015-03-30T09:30:00.000",,"369","V","SH"
"U1473003150930","U1","47","2015-03-30T09:30:00.000",,"141","V","SH"
"U2323003150930","U2","32","2015-03-30T09:30:00.000",,"17.8","V","SH"
"U2023003150930","U2","2","2015-03-30T09:30:00.000","2015-03-30T09:57:00.000","1018.1","V","SH"
"U2423003150930","U2","42","2015-03-30T09:30:00.000","2015-03-30T09:30:00.000","17.2","V","SH"
"U2333003150930","U2","33","2015-03-30T09:30:00.000",,"71","V","SH"
"U2443003150930","U2","44","2015-03-30T09:30:00.000","2015-03-30T09:58:00.000","60","V","SH"
"U2033003150930","U2","3","2015-03-30T09:30:00.000","2015-03-30T09:31:00.000","77","V","SH"
"U2303003150930","U2","30","2015-03-30T09:30:00.000",,"1.5","V","SH"
"U2313003150930","U2","31","2015-03-30T09:30:00.000",,"252","V","SH"
"U2503003150930","U2","50","2015-03-30T09:30:00.000","2015-03-30T09:58:00.000","2.9","V","SH"
"U2513003150930","U2","51","2015-03-30T09:30:00.000",,"185","V","SH"
"U2353003150930","U2","35","2015-03-30T09:30:00.000",,"0","V","SH"
"U2723003150930","U2","72","2015-03-30T09:30:00.000","2015-03-30T09:30:00.000","0","V","SH"
"U2363003150930","U2","36","2015-03-30T09:30:00.000",,"654","V","SH"
"U2343003150930","U2","34","2015-03-30T09:30:00.000",,"1018.5","V","SH"
"U2013003150930","U2","1","2015-03-30T09:30:00.000","2015-03-30T09:35:00.000","1018.8","V","SH"
"U2403003150930","U2","40","2015-03-30T09:30:00.000","2015-03-30T09:57:00.000","18.5","V","SH"
"U3323003150930","U3","32","2015-03-30T09:30:00.000",,"18.8","V","SH"
"U3403003150930","U3","40","2015-03-30T09:30:00.000","2015-03-30T09:59:00.000","19.3","V","SH"
"U3423003150930","U3","42","2015-03-30T09:30:00.000","2015-03-30T09:33:00.000","18.3","V","SH"
"U3333003150930","U3","33","2015-03-30T09:30:00.000",,"28","V","SH"
"U3443003150930","U3","44","2015-03-30T09:30:00.000","2015-03-30T09:52:00.000","27","V","SH"
"U3033003150930","U3","3","2015-03-30T09:30:00.000","2015-03-30T09:58:00.000","28","V","SH"
"U3593003150930","U3","59","2015-03-30T09:30:00.000",,"202","V","SH"
"U3473003150930","U3","47","2015-03-30T09:30:00.000",,"257","V","SH"
"U3563003150930","U3","56","2015-03-30T09:30:00.000","2015-03-30T09:49:00.000","11.8","V","SH"
"U3573003150930","U3","57","2015-03-30T09:30:00.000",,"258","V","SH"
"U3353003150930","U3","35","2015-03-30T09:30:00.000",,"0","V","SH"
"U3723003150930","U3","72","2015-03-30T09:30:00.000","2015-03-30T09:30:00.000","0","V","SH"
"U3363003150930","U3","36","2015-03-30T09:30:00.000",,"422","V","SH"
"U3463003150930","U3","46","2015-03-30T09:30:00.000",,"6.3","V","SH"
"U4313003150930","U4","31","2015-03-30T09:30:00.000",,"46","V","SH"
"U4503003150930","U4","50","2015-03-30T09:30:00.000","2015-03-30T09:50:00.000","2.6","V","SH"
"U4513003150930","U4","51","2015-03-30T09:30:00.000",,"40","V","SH"
"U4353003150930","U4","35","2015-03-30T09:30:00.000",,"0","V","SH"
"U4723003150930","U4","72","2015-03-30T09:30:00.000","2015-03-30T09:30:00.000","0","V","SH"
"U4303003150930","U4","30","2015-03-30T09:30:00.000",,"1.4","V","SH"
"U4363003150930","U4","36","2015-03-30T09:30:00.000",,"327","V","SH"
"U4403003150930","U4","40","2015-03-30T09:30:00.000","2015-03-30T09:59:00.000","12.6","V","SH"
"U4423003150930","U4","42","2015-03-30T09:30:00.000","2015-03-30T09:31:00.000","11.7","V","SH"
"U4333003150930","U4","33","2015-03-30T09:30:00.000",,"59","V","SH"
"U4443003150930","U4","44","2015-03-30T09:30:00.000","2015-03-30T09:59:00.000","55","V","SH"
"U4033003150930","U4","3","2015-03-30T09:30:00.000","2015-03-30T09:33:00.000","62","V","SH"
"U4323003150930","U4","32","2015-03-30T09:30:00.000",,"12.2","V","SH"
"U6403003150930","U6","40","2015-03-30T09:30:00.000","2015-03-30T09:59:00.000","20.2","V","SH"
"U6423003150930","U6","42","2015-03-30T09:30:00.000","2015-03-30T09:30:00.000","19.2","V","SH"
"U6333003150930","U6","33","2015-03-30T09:30:00.000",,"36","V","SH"
"U6443003150930","U6","44","2015-03-30T09:30:00.000","2015-03-30T09:56:00.000","35","V","SH"
"U6033003150930","U6","3","2015-03-30T09:30:00.000","2015-03-30T09:35:00.000","37","V","SH"
"U6463003150930","U6","46","2015-03-30T09:30:00.000",,"4.3","V","SH"
"U6363003150930","U6","36","2015-03-30T09:30:00.000",,"354","V","SH"
"U6563003150930","U6","56","2015-03-30T09:30:00.000","2015-03-30T09:30:00.000","9.6","V","SH"
"U6573003150930","U6","57","2015-03-30T09:30:00.000",,"304","V","SH"
"U6353003150930","U6","35","2015-03-30T09:30:00.000",,"0","V","SH"
"U6323003150930","U6","32","2015-03-30T09:30:00.000",,"19.7","V","SH"
"U6723003150930","U6","72","2015-03-30T09:30:00.000","2015-03-30T09:30:00.000","0","V","SH"
"U6473003150930","U6","47","2015-03-30T09:30:00.000",,"301","V","SH"
"U7333003150930","U7","33","2015-03-30T09:30:00.000",,"27","V","SH"
"U7443003150930","U7","44","2015-03-30T09:30:00.000","2015-03-30T09:47:00.000","26","V","SH"
"U7033003150930","U7","3","2015-03-30T09:30:00.000","2015-03-30T09:33:00.000","29","V","SH"
"U7323003150930","U7","32","2015-03-30T09:30:00.000",,"20.8","V","SH"
"U7403003150930","U7","40","2015-03-30T09:30:00.000","2015-03-30T09:59:00.000","21.2","V","SH"
"U7423003150930","U7","42","2015-03-30T09:30:00.000","2015-03-30T09:30:00.000","20.4","V","SH"
"U7363003150930","U7","36","2015-03-30T09:30:00.000",,"131","V","SH"
"U7473003150930","U7","47","2015-03-30T09:30:00.000",,"336","V","SH"
"U7563003150930","U7","56","2015-03-30T09:30:00.000","2015-03-30T09:54:00.000","7.1","V","SH"
"U7573003150930","U7","57","2015-03-30T09:30:00.000",,"12","V","SH"
"U7353003150930","U7","35","2015-03-30T09:30:00.000",,"0","V","SH"
"U7723003150930","U7","72","2015-03-30T09:30:00.000","2015-03-30T09:30:00.000","0","V","SH"
"U7463003150930","U7","46","2015-03-30T09:30:00.000",,"2.3","V","SH"
"U9323003150930","U9","32","2015-03-30T09:30:00.000",,"20.6","V","SH"
"U9403003150930","U9","40","2015-03-30T09:30:00.000","2015-03-30T09:59:00.000","20.9","V","SH"
"U9423003150930","U9","42","2015-03-30T09:30:00.000","2015-03-30T09:30:00.000","20.3","V","SH"
"U9333003150930","U9","33","2015-03-30T09:30:00.000",,"26","V","SH"
"U9443003150930","U9","44","2015-03-30T09:30:00.000","2015-03-30T09:58:00.000","25","V","SH"
"U9033003150930","U9","3","2015-03-30T09:30:00.000","2015-03-30T09:31:00.000","28","V","SH"
"U9363003150930","U9","36","2015-03-30T09:30:00.000",,"101","V","SH"
"U9473003150930","U9","47","2015-03-30T09:30:00.000",,"307","V","SH"
"U9563003150930","U9","56","2015-03-30T09:30:00.000","2015-03-30T09:45:00.000","8.8","V","SH"
"U9573003150930","U9","57","2015-03-30T09:30:00.000",,"297","V","SH"
"U9353003150930","U9","35","2015-03-30T09:30:00.000",,"0","V","SH"
"U9723003150930","U9","72","2015-03-30T09:30:00.000","2015-03-30T09:30:00.000","0","V","SH"
"U9463003150930","U9","46","2015-03-30T09:30:00.000",,"3.5","V","SH"
"VA463003150930","VA","46","2015-03-30T09:30:00.000",,"4.6","V","SH"
"VA473003150930","VA","47","2015-03-30T09:30:00.000",,"306","V","SH"
"VA563003150930","VA","56","2015-03-30T09:30:00.000","2015-03-30T09:59:00.000","11.5","V","SH"
